Index,BRK-B.Open,BRK-B.High,BRK-B.Low,BRK-B.Close,BRK-B.Volume,BRK-B.Adjusted
2016-03-16,139.839996337891,140.440002441406,139.509994506836,139.830001831055,3124200,139.830001831055
2016-03-17,140,142.580001831055,139.679992675781,142.399993896484,4461000,142.399993896484
2016-03-18,142.830001831055,142.960006713867,141.440002441406,142.160003662109,7612100,142.160003662109
2016-03-21,142.160003662109,142.610000610352,141.710006713867,142.130004882812,2441000,142.130004882812
2016-03-22,141.979995727539,142.990005493164,141.660003662109,142.179992675781,3288100,142.179992675781
2016-03-23,142.169998168945,142.169998168945,140.899993896484,140.960006713867,2647100,140.960006713867
2016-03-24,140.220001220703,140.600006103516,139.559997558594,140.110000610352,3777900,140.110000610352
2016-03-28,140.949996948242,141.619995117188,140.330001831055,141.289993286133,2668100,141.289993286133
2016-03-29,141.289993286133,142.039993286133,140.5,141.899993896484,3346200,141.899993896484
2016-03-30,142.910003662109,143.399993896484,142.289993286133,142.460006713867,3161300,142.460006713867
2016-03-31,142.559997558594,143.050003051758,141.479995727539,141.880004882812,3520200,141.880004882812
2016-04-01,141.210006713867,144.050003051758,141.110000610352,143.789993286133,3985700,143.789993286133
2016-04-04,143.990005493164,143.990005493164,142.770004272461,143.220001220703,3163900,143.220001220703
2016-04-05,142.419998168945,142.479995727539,140.929992675781,141.199996948242,3166500,141.199996948242
2016-04-06,141.309997558594,141.820007324219,140.419998168945,141.699996948242,2820200,141.699996948242
2016-04-07,140.929992675781,141.199996948242,140.270004272461,140.809997558594,2920500,140.809997558594
2016-04-08,141.529998779297,141.990005493164,140.679992675781,141.059997558594,2118400,141.059997558594
2016-04-11,141.789993286133,142.089996337891,140.960006713867,140.990005493164,2381100,140.990005493164
2016-04-12,141.25,142.490005493164,140.979995727539,142.399993896484,2649300,142.399993896484
2016-04-13,142.949996948242,144.139999389648,142.889999389648,144.039993286133,3562800,144.039993286133
2016-04-14,144.100006103516,144.350006103516,143.470001220703,143.720001220703,2487300,143.720001220703
2016-04-15,144.139999389648,144.160003662109,142.940002441406,143.449996948242,3124100,143.449996948242
2016-04-18,143,144.479995727539,142.949996948242,144.380004882812,2766000,144.380004882812
2016-04-19,144.779998779297,146.380004882812,144.509994506836,145.949996948242,3657500,145.949996948242
2016-04-20,145.979995727539,146.440002441406,145.380004882812,146.089996337891,2289000,146.089996337891
2016-04-21,146.089996337891,146.419998168945,144.669998168945,144.860000610352,2879800,144.860000610352
