Index,SYGEU.JO.Open,SYGEU.JO.High,SYGEU.JO.Low,SYGEU.JO.Close,SYGEU.JO.Volume,SYGEU.JO.Adjusted
2023-08-31,8854.2880859375,8854.2880859375,8854.2880859375,8854.2880859375,0,8852.91015625
2023-09-01,8714.3388671875,8714.3388671875,8714.3388671875,8714.3388671875,0,8712.982421875
2023-09-04,8818.1162109375,8818.1162109375,8818.1162109375,8818.1162109375,0,8816.744140625
2023-09-05,8831.0283203125,8831.0283203125,8831.0283203125,8831.0283203125,0,8829.654296875
2023-09-06,8758.0927734375,8758.0927734375,8758.0927734375,8758.0927734375,0,8756.7294921875
2023-09-07,8683.14453125,8683.14453125,8683.14453125,8683.14453125,0,8681.79296875
2023-09-08,8685.080078125,8685.080078125,8685.080078125,8685.080078125,0,8683.728515625
2023-09-11,8656.1923828125,8656.1923828125,8656.1923828125,8656.1923828125,0,8654.8447265625
2023-09-12,8640.357421875,8640.357421875,8640.357421875,8640.357421875,0,8639.0126953125
2023-09-13,8536.1005859375,8536.1005859375,8536.1005859375,8536.1005859375,0,8534.771484375
2023-09-14,8660.7158203125,8660.7158203125,8660.7158203125,8660.7158203125,0,8659.3681640625
2023-09-15,8767.62890625,8767.62890625,8767.62890625,8767.62890625,0,8766.2646484375
2023-09-18,8635.8056640625,8635.8056640625,8635.8056640625,8635.8056640625,0,8634.4619140625
2023-09-19,8602.7685546875,8602.7685546875,8602.7685546875,8602.7685546875,0,8601.4296875
2023-09-20,8618.716796875,8618.716796875,8618.716796875,8618.716796875,0,8617.375
2023-09-21,8504.92578125,8504.92578125,8504.92578125,8504.92578125,0,8503.6015625
2023-09-22,8428.638671875,8428.638671875,8428.638671875,8428.638671875,0,8427.3271484375
2023-09-26,8331.5830078125,8331.5830078125,8331.5830078125,8331.5830078125,0,8330.2861328125
2023-09-27,8332.908203125,8332.908203125,8332.908203125,8332.908203125,0,8331.611328125
2023-09-28,8397.1845703125,8397.1845703125,8397.1845703125,8397.1845703125,0,8395.876953125
2023-09-29,8347.4140625,8347.4140625,8347.4140625,8347.4140625,0,8346.1142578125
2023-10-02,8353.5517578125,8353.5517578125,8353.5517578125,8353.5517578125,0,8352.2509765625
2023-10-03,8314.955078125,8314.955078125,8314.955078125,8314.955078125,0,8313.6611328125
2023-10-04,8365.9951171875,8365.9951171875,8365.9951171875,8365.9951171875,0,8364.6923828125
2023-10-05,8459.3427734375,8459.3427734375,8459.3427734375,8459.3427734375,0,8458.0263671875
2023-10-06,8499.166015625,8499.166015625,8499.166015625,8499.166015625,0,8497.8427734375
2023-10-09,8442.587890625,8442.587890625,8442.587890625,8442.587890625,0,8441.2734375
2023-10-10,8522.2119140625,8522.2119140625,8522.2119140625,8522.2119140625,0,8520.8857421875
2023-10-11,8408.6591796875,8408.6591796875,8408.6591796875,8408.6591796875,0,8407.3505859375
2023-10-12,8412.806640625,8412.806640625,8412.806640625,8412.806640625,0,8411.4970703125
2023-10-13,8270.935546875,8270.935546875,8270.935546875,8270.935546875,0,8269.6474609375
2023-10-16,8251.037109375,8251.037109375,8251.037109375,8251.037109375,0,8249.7529296875
2023-10-17,8253.47265625,8253.47265625,8253.47265625,8253.47265625,0,8252.1875
2023-10-18,8260.8037109375,8260.8037109375,8260.8037109375,8260.8037109375,0,8259.517578125
2023-10-19,8257.619140625,8257.619140625,8257.619140625,8257.619140625,0,8256.333984375
2023-10-20,8094.90283203125,8094.90283203125,8094.90283203125,8094.90283203125,0,8093.64306640625
2023-10-23,8148.080078125,8148.080078125,8148.080078125,8148.080078125,0,8146.81201171875
2023-10-24,8221.6357421875,8221.6357421875,8221.6357421875,8221.6357421875,0,8220.35546875
2023-10-25,8241.3212890625,8241.3212890625,8241.3212890625,8241.3212890625,0,8240.0380859375
2023-10-26,8112.455078125,8112.455078125,8112.455078125,8112.455078125,0,8111.1923828125
2023-10-27,8001.7880859375,8001.7880859375,8001.7880859375,8001.7880859375,0,8000.54248046875
2023-10-30,8054.10400390625,8054.10400390625,8054.10400390625,8054.10400390625,0,8052.8505859375
2023-10-31,8066.546875,8066.546875,8066.546875,8066.546875,0,8065.29150390625
2023-11-01,8062.0908203125,8062.0908203125,8062.0908203125,8062.0908203125,0,8060.8359375
2023-11-02,8196.0498046875,8196.0498046875,8196.0498046875,8196.0498046875,0,8194.7734375
2023-11-03,8190.5400390625,8190.5400390625,8190.5400390625,8190.5400390625,0,8189.26513671875
2023-11-06,8196.7744140625,8196.7744140625,8196.7744140625,8196.7744140625,0,8195.498046875
2023-11-07,8178.998046875,8178.998046875,8178.998046875,8178.998046875,0,8177.72509765625
2023-11-08,8282.591796875,8282.591796875,8282.591796875,8282.591796875,0,8281.302734375
2023-11-09,8428.55859375,8428.55859375,8428.55859375,8428.55859375,0,8427.2470703125
2023-11-10,8418.9833984375,8418.9833984375,8418.9833984375,8418.9833984375,0,8417.6728515625
2023-11-13,8496.763671875,8496.763671875,8496.763671875,8496.763671875,0,8495.44140625
2023-11-14,8572.103515625,8572.103515625,8572.103515625,8572.103515625,0,8570.76953125
2023-11-15,8554.7421875,8554.7421875,8554.7421875,8554.7421875,0,8553.4111328125
2023-11-16,8601.650390625,8601.650390625,8601.650390625,8601.650390625,0,8600.3115234375
2023-11-17,8699.330078125,8699.330078125,8699.330078125,8699.330078125,0,8697.9765625
2023-11-20,8761.3984375,8761.3984375,8761.3984375,8761.3984375,0,8760.03515625
2023-11-21,8785.2568359375,8785.2568359375,8785.2568359375,8785.2568359375,0,8783.8896484375
2023-11-22,8941.125,8941.125,8941.125,8941.125,0,8939.7333984375
2023-11-23,8970.2216796875,8970.2216796875,8970.2216796875,8970.2216796875,0,8968.826171875
2023-11-24,9042.62890625,9042.62890625,9042.62890625,9042.62890625,0,9041.2216796875
2023-11-27,8939.3271484375,8939.3271484375,8939.3271484375,8939.3271484375,0,8937.9365234375
2023-11-28,8937.6416015625,8937.6416015625,8937.6416015625,8937.6416015625,0,8936.2509765625
2023-11-29,8948.109375,8948.109375,8948.109375,8948.109375,0,8946.716796875
2023-11-30,9088.4501953125,9088.4501953125,9088.4501953125,9088.4501953125,0,9087.0361328125
2023-12-01,8960.5810546875,8960.5810546875,8960.5810546875,8960.5810546875,0,8959.1865234375
2023-12-04,9020.96875,9020.96875,9020.96875,9020.96875,0,9019.5654296875
2023-12-05,9155.3408203125,9155.3408203125,9155.3408203125,9155.3408203125,0,9153.916015625
2023-12-06,9151.3837890625,9151.3837890625,9151.3837890625,9151.3837890625,0,9149.9599609375
2023-12-07,9109.9609375,9109.9609375,9109.9609375,9109.9609375,0,9108.5439453125
2023-12-08,9248.51171875,9248.51171875,9248.51171875,9248.51171875,0,9247.0732421875
2023-12-11,9356.1005859375,9356.1005859375,9356.1005859375,9356.1005859375,0,9354.6455078125
2023-12-12,9352.48046875,9352.48046875,9352.48046875,9352.48046875,0,9351.025390625
2023-12-13,9344.7607421875,9344.7607421875,9344.7607421875,9344.7607421875,0,9343.306640625
