Index,VOO.Open,VOO.High,VOO.Low,VOO.Close,VOO.Volume,VOO.Adjusted
2016-02-29,178.940002441406,179.949996948242,177.380004882812,177.380004882812,3128400,151.038009643555
2016-03-01,178.839996337891,181.75,178.330001831055,181.75,3041400,154.759048461914
2016-03-02,181.360000610352,182.539993286133,180.910003662109,182.520004272461,3839200,155.414688110352
2016-03-03,182.270004272461,183.229995727539,181.699996948242,183.190002441406,3150400,155.985198974609
2016-03-04,183.449996948242,184.660003662109,182.550003051758,183.779998779297,2821000,156.487579345703
2016-03-07,182.850006103516,184.389999389648,182.75,183.979995727539,3449900,156.657928466797
2016-03-08,182.830001831055,183.330001831055,181.779998779297,181.910003662109,3385400,154.895263671875
2016-03-09,182.850006103516,183.220001220703,182.009994506836,182.910003662109,1641600,155.746795654297
2016-03-10,183.380004882812,184.389999389648,181.029998779297,183.009994506836,2090500,155.831939697266
2016-03-11,184.570007324219,186.009994506836,184.460006713867,185.979995727539,2231000,158.360900878906
2016-03-14,185.399993896484,186.199996948242,185.070007324219,185.699996948242,1412800,158.122482299805
2016-03-15,184.699996948242,185.460006713867,184.419998168945,185.460006713867,1325300,157.918106079102
2016-03-16,184.880004882812,186.929992675781,184.860000610352,186.570007324219,2700700,158.863311767578
2016-03-17,186.419998168945,188.240005493164,186,187.75,1937300,159.868057250977
2016-03-18,188.350006103516,188.789993286133,187.910003662109,188.449996948242,2623400,160.464111328125
2016-03-21,187.179992675781,187.940002441406,186.910003662109,187.729995727539,1535400,160.708892822266
2016-03-22,186.889999389648,188.210006713867,186.710006713867,187.630004882812,1521600,160.623321533203
2016-03-23,187.179992675781,187.360000610352,186.179992675781,186.429992675781,1633300,159.596008300781
2016-03-24,185.25,186.320007324219,185.009994506836,186.300003051758,1874800,159.484741210938
2016-03-28,186.759994506836,186.940002441406,185.919998168945,186.429992675781,1271200,159.596008300781
2016-03-29,185.990005493164,188.220001220703,185.630004882812,188.220001220703,1604900,161.128402709961
2016-03-30,189.169998168945,189.720001220703,188.580001831055,189.009994506836,1908400,161.804672241211
2016-03-31,188.850006103516,189.289993286133,188.320007324219,188.559997558594,3007800,161.41943359375
2016-04-01,187.399993896484,189.960006713867,187.100006103516,189.770004272461,2971800,162.455276489258
2016-04-04,189.740005493164,189.899993896484,188.830001831055,189.169998168945,1259500,161.941650390625
2016-04-05,187.740005493164,188.210006713867,187,187.25,1737500,160.297988891602
2016-04-06,187.389999389648,189.380004882812,187.089996337891,189.289993286133,1860800,162.044357299805
2016-04-07,188.169998168945,188.5,186.259994506836,187.059997558594,2635300,160.135345458984
2016-04-08,188.309997558594,188.770004272461,186.990005493164,187.570007324219,2043800,160.571960449219
2016-04-11,188.259994506836,188.990005493164,187.029998779297,187.080001831055,1355300,160.152526855469
2016-04-12,187.289993286133,189.179992675781,186.830001831055,188.899993896484,1590700,161.710494995117
2016-04-13,189.880004882812,190.850006103516,189.710006713867,190.789993286133,1972900,163.328475952148
2016-04-14,190.839996337891,191.309997558594,190.410003662109,190.770004272461,3214800,163.311370849609
2016-04-15,190.800003051758,190.850006103516,190.220001220703,190.559997558594,2059700,163.131561279297
2016-04-18,189.990005493164,191.940002441406,189.850006103516,191.940002441406,2345300,164.312911987305
2016-04-19,192.360000610352,192.779998779297,191.639999389648,192.520004272461,1633300,164.809448242188
2016-04-20,192.600006103516,193.429992675781,192.050003051758,192.679992675781,1636800,164.946411132812
2016-04-21,192.699996948242,192.820007324219,191.369995117188,191.610000610352,1814700,164.030456542969
2016-04-22,191.300003051758,191.940002441406,190.690002441406,191.660003662109,1863900,164.0732421875
2016-04-25,191.070007324219,191.360000610352,190.350006103516,191.350006103516,2368000,163.807800292969
2016-04-26,191.720001220703,192.160003662109,191.139999389648,191.630004882812,1715300,164.047576904297
2016-04-27,191.210006713867,192.440002441406,190.800003051758,192.029998779297,1971700,164.38996887207
2016-04-28,191.220001220703,192.399993896484,189.850006103516,190.300003051758,1578800,162.908996582031
2016-04-29,189.619995117188,189.979995727539,188.050003051758,189.220001220703,2785500,161.984451293945
2016-05-02,189.809997558594,190.949996948242,189.339996337891,190.729995727539,1638900,163.277114868164
2016-05-03,189.440002441406,189.660003662109,188.279998779297,189.100006103516,2351900,161.881713867188
2016-05-04,187.990005493164,188.779998779297,187.470001220703,187.990005493164,2079600,160.931442260742
2016-05-05,188.570007324219,188.899993896484,187.570007324219,187.970001220703,1611600,160.914337158203
2016-05-06,187.210006713867,188.720001220703,187,188.649993896484,1551400,161.496505737305
2016-05-09,188.550003051758,189.270004272461,188.360000610352,188.850006103516,1569000,161.667709350586
2016-05-10,189.610000610352,191.210006713867,189.539993286133,191.190002441406,1021100,163.670944213867
2016-05-11,190.710006713867,191.070007324219,189.389999389648,189.399993896484,2725500,162.138534545898
2016-05-12,190.139999389648,190.289993286133,188.360000610352,189.509994506836,1783200,162.232666015625
2016-05-13,189.100006103516,189.710006713867,187.460006713867,187.759994506836,1658700,160.734603881836
2016-05-16,187.979995727539,190.160003662109,187.929992675781,189.630004882812,1075000,162.335464477539
2016-05-17,189.350006103516,189.649993896484,187.330001831055,187.960006713867,3327100,160.905776977539
2016-05-18,187.5,189.199996948242,186.779998779297,187.929992675781,1942000,160.880126953125
2016-05-19,187.149993896484,187.589996337891,185.970001220703,187.320007324219,1796000,160.357940673828
