Index,NET.Open,NET.High,NET.Low,NET.Close,NET.Volume,NET.Adjusted
2019-12-27,17.0900001525879,17.2399997711182,16.6350002288818,16.6900005340576,790400,16.6900005340576
2019-12-30,16.7000007629395,17.2399997711182,16.2000007629395,17.2099990844727,890500,17.2099990844727
2019-12-31,17.0900001525879,17.2600002288818,16.7999992370605,17.0599994659424,927700,17.0599994659424
2020-01-02,17.2399997711182,17.3500003814697,16.7999992370605,17.0300006866455,706100,17.0300006866455
2020-01-03,16.9599990844727,17.3299999237061,16.8199996948242,17.1700000762939,594400,17.1700000762939
2020-01-06,17.1499996185303,17.9500007629395,16.9799995422363,17.6900005340576,1261700,17.6900005340576
2020-01-07,17.6700000762939,17.8490009307861,17.2999992370605,17.6700000762939,565900,17.6700000762939
2020-01-08,17.6499996185303,18,17.5,17.7800006866455,543600,17.7800006866455
2020-01-09,18.1200008392334,18.1200008392334,17,17.0200004577637,922000,17.0200004577637
2020-01-10,17.2600002288818,17.6399993896484,17.1000003814697,17.4799995422363,653500,17.4799995422363
2020-01-13,17.7000007629395,18.5400009155273,17.6299991607666,18.3600006103516,839100,18.3600006103516
2020-01-14,18.5200004577637,18.8500003814697,18.1100006103516,18.7000007629395,775100,18.7000007629395
2020-01-15,18.7000007629395,19.2999992370605,18.7000007629395,18.8500003814697,1229200,18.8500003814697
2020-01-16,19.1100006103516,19.2399997711182,18.6399993896484,18.9599990844727,700400,18.9599990844727
2020-01-17,19.1399993896484,19.2999992370605,18.3999996185303,18.6000003814697,542700,18.6000003814697
2020-01-21,18.5599994659424,18.8999996185303,18,18,635700,18
2020-01-22,18.1900005340576,18.4899997711182,17.9799995422363,18.0499992370605,526500,18.0499992370605
2020-01-23,18.0499992370605,18.1800003051758,17.7600002288818,18.1700000762939,407100,18.1700000762939
2020-01-24,18.1800003051758,18.6800003051758,17.7199993133545,17.7700004577637,648900,17.7700004577637
2020-01-27,17.3400001525879,17.8600006103516,17.0200004577637,17.8199996948242,666400,17.8199996948242
2020-01-28,17.7700004577637,18.1299991607666,17.6299991607666,18.0799999237061,481600,18.0799999237061
2020-01-29,18.1900005340576,18.2700004577637,17.5900001525879,17.5900001525879,451800,17.5900001525879
2020-01-30,17.9099998474121,18.3700008392334,17.6620006561279,18.3199996948242,595300,18.3199996948242
2020-01-31,18.3099994659424,18.3500003814697,17.7399997711182,17.8600006103516,537800,17.8600006103516
2020-02-03,18,18.1900005340576,17.5200004577637,17.6900005340576,640300,17.6900005340576
2020-02-04,17.8999996185303,18.3950004577637,17.7700004577637,17.9300003051758,964500,17.9300003051758
2020-02-05,18.1599998474121,18.2940006256104,17.6499996185303,18,1161700,18
2020-02-06,18,18.0499992370605,17.7199993133545,17.7700004577637,545100,17.7700004577637
2020-02-07,17.8799991607666,18.3449993133545,17.7999992370605,18.1700000762939,595400,18.1700000762939
2020-02-10,18.2299995422363,19.2000007629395,18.1000003814697,18.3400001525879,1358500,18.3400001525879
2020-02-11,18.4099998474121,19.2299995422363,18.3600006103516,18.3700008392334,1455900,18.3700008392334
2020-02-12,18.5499992370605,18.6030006408691,17.5499992370605,17.8199996948242,1429900,17.8199996948242
2020-02-13,17.75,18.2099990844727,17.7199993133545,18.0699996948242,1715500,18.0699996948242
2020-02-14,18.4599990844727,18.7000007629395,17.2199993133545,17.75,4739900,17.75
2020-02-18,17.7000007629395,17.9200000762939,17.2399997711182,17.5,2756500,17.5
2020-02-19,17.4500007629395,18.2299995422363,17.3500003814697,18.0100002288818,7996700,18.0100002288818
2020-02-20,18.1499996185303,21.3500003814697,18.1000003814697,20.2999992370605,10976200,20.2999992370605
2020-02-21,20.2999992370605,21.3500003814697,20.2999992370605,21.0200004577637,3427200,21.0200004577637
2020-02-24,19.75,20.4799995422363,19.2700004577637,19.8099994659424,2941200,19.8099994659424
2020-02-25,19.9099998474121,20.4400005340576,19,20.2900009155273,4154000,20.2900009155273
2020-02-26,20.2000007629395,22.6900005340576,20.0200004577637,22.1100006103516,7309000,22.1100006103516
2020-02-27,20.6499996185303,22.5200004577637,20.5100002288818,21.9400005340576,5353700,21.9400005340576
2020-02-28,21.0300006866455,21.7900009155273,19.8299999237061,21.2999992370605,3931200,21.2999992370605
2020-03-02,21.6900005340576,22.0799999237061,20.3799991607666,22.0799999237061,3115200,22.0799999237061
2020-03-03,22.3299999237061,22.3999996185303,21,22.0799999237061,2232100,22.0799999237061
2020-03-04,22.3500003814697,23.4200000762939,22.0900001525879,22.7000007629395,3042500,22.7000007629395
2020-03-05,22.1800003051758,25.0200004577637,22.1000003814697,23.3500003814697,4730900,23.3500003814697
2020-03-06,22.7700004577637,23.2900009155273,21.2999992370605,22.7700004577637,3489500,22.7700004577637
2020-03-09,21.25,22.2600002288818,20.3999996185303,20.7399997711182,2971100,20.7399997711182
2020-03-10,21.5300006866455,21.9599990844727,19.5310001373291,21.1100006103516,2776100,21.1100006103516
2020-03-11,20.8500003814697,21.3400001525879,20,20.5900001525879,1768100,20.5900001525879
2020-03-12,19.1000003814697,19.4950008392334,17.7999992370605,19.1599998474121,2996100,19.1599998474121
2020-03-13,20,20.0970001220703,17.6000003814697,19.0599994659424,2837900,19.0599994659424
2020-03-16,16.5900001525879,17.4899997711182,15.0500001907349,15.9200000762939,3015300,15.9200000762939
2020-03-17,16.3600006103516,18.8999996185303,15.8699998855591,18.6900005340576,3287200,18.6900005340576
2020-03-18,17.7600002288818,20.75,17.4099998474121,19.7000007629395,3438700,19.7000007629395
2020-03-19,19.7999992370605,23.1800003051758,19.4400005340576,20.6900005340576,2679300,20.6900005340576
2020-03-20,20.8500003814697,22.6800003051758,20.5200004577637,21.7199993133545,2468500,21.7199993133545
2020-03-23,20.9300003051758,22.1399993896484,19.5300006866455,21.4099998474121,2276500,21.4099998474121
2020-03-24,22.0400009155273,22.5,21.2099990844727,22.4099998474121,2577800,22.4099998474121
2020-03-25,22.0599994659424,23,21.2299995422363,21.6599998474121,2660900,21.6599998474121
2020-03-26,21.7000007629395,22.2099990844727,20.8299999237061,21.6000003814697,2290300,21.6000003814697
2020-03-27,20.9599990844727,22.4850006103516,20.4099998474121,21.9599990844727,2787400,21.9599990844727
2020-03-30,22.1000003814697,24.0900001525879,21.2099990844727,23.8899993896484,3945300,23.8899993896484
2020-03-31,24.1599998474121,26.2800006866455,22.8099994659424,23.4799995422363,5566200,23.4799995422363
2020-04-01,22.8999996185303,25.8600006103516,22.1800003051758,24.1200008392334,3667800,24.1200008392334
2020-04-02,23.9899997711182,23.9899997711182,22.1800003051758,23.0599994659424,2736900,23.0599994659424
2020-04-03,22.9300003051758,24.2000007629395,22.6700000762939,24.0799999237061,1917800,24.0799999237061
2020-04-06,24.5,24.5100002288818,23,23.6399993896484,2298400,23.6399993896484
