Index,SNOW.Open,SNOW.High,SNOW.Low,SNOW.Close,SNOW.Volume,SNOW.Adjusted
2024-02-09,228.300003051758,235,228.130004882812,233.279998779297,8263400,233.279998779297
2024-02-12,231,237.720001220703,229.074996948242,232.160003662109,5383700,232.160003662109
2024-02-13,223.059997558594,231.020004272461,220.5,227.570007324219,4851100,227.570007324219
2024-02-14,230,236.240005493164,227.179992675781,236,3741900,236
2024-02-15,235,236.330001831055,229.100006103516,232.399993896484,3617600,232.399993896484
2024-02-16,230.649993896484,234.815002441406,228.600006103516,230.309997558594,3596000,230.309997558594
2024-02-20,226.029998779297,226.690002441406,215.589996337891,220.080001831055,6028600,220.080001831055
2024-02-21,215,217.199996948242,211.679992675781,216.210006713867,3596600,216.210006713867
2024-02-22,224.139999389648,227.679992675781,219.514999389648,225.619995117188,5847700,225.619995117188
2024-02-23,234.279998779297,234.830001831055,227.039993286133,229.339996337891,4528000,229.339996337891
2024-02-26,229.330001831055,233.360000610352,226.649993896484,230.929992675781,4820600,230.929992675781
2024-02-27,233,235.660003662109,231.089996337891,234.029998779297,4810300,234.029998779297
2024-02-28,230.75,233.880004882812,226.559997558594,230,19406200,230
2024-02-29,181.169998168945,190.449996948242,180.679992675781,188.279998779297,42311400,188.279998779297
2024-03-01,191.259994506836,194.199996948242,186.139999389648,186.720001220703,17219800,186.720001220703
2024-03-04,185.889999389648,186.550003051758,175.294998168945,177.929992675781,16342300,177.929992675781
2024-03-05,175.029998779297,175.330001831055,166.320007324219,167.75,14716900,167.75
2024-03-06,170,171.360000610352,163.369995117188,167,12733400,167
2024-03-07,167,169.160003662109,163.710006713867,168.440002441406,9049600,168.440002441406
2024-03-08,169.289993286133,169.839996337891,161.630004882812,162.399993896484,9342400,162.399993896484
2024-03-11,161.419998168945,162.979995727539,160.399993896484,162.289993286133,6026100,162.289993286133
2024-03-12,162.940002441406,163.770004272461,159.699996948242,161.949996948242,7386900,161.949996948242
2024-03-13,161.270004272461,166.839996337891,160.699996948242,162.309997558594,5866700,162.309997558594
2024-03-14,162.020004272461,162.5,157.800003051758,158.919998168945,5999100,158.919998168945
2024-03-15,158.779998779297,160.240005493164,156.619995117188,156.970001220703,8265600,156.970001220703
2024-03-18,157.520004272461,158.259994506836,155.550003051758,156.309997558594,7127200,156.309997558594
2024-03-19,152.110000610352,157.839996337891,151.490005493164,157.699996948242,6644900,157.699996948242
2024-03-20,158.050003051758,164.309997558594,158.050003051758,163.039993286133,7596600,163.039993286133
2024-03-21,166,168.679992675781,157.210006713867,158.389999389648,11393400,158.389999389648
2024-03-22,158.389999389648,160.300003051758,157,159.029998779297,4076000,159.029998779297
2024-03-25,157.789993286133,159.100006103516,157.25,158.139999389648,3108700,158.139999389648
2024-03-26,159.380004882812,160.970001220703,157.639999389648,158.020004272461,4069100,158.020004272461
2024-03-27,159.600006103516,160.628005981445,157.699996948242,160.039993286133,4698100,160.039993286133
2024-03-28,164.020004272461,165.889999389648,161,161.600006103516,10106900,161.600006103516
2024-04-01,161.860000610352,163.75,159.735000610352,160.520004272461,3928800,160.520004272461
2024-04-02,157.5,157.770004272461,155.070007324219,156.190002441406,5615500,156.190002441406
2024-04-03,155.149993896484,155.300003051758,152.529998779297,153.020004272461,6147000,153.020004272461
2024-04-04,153.110000610352,156,150.619995117188,151.339996337891,6249500,151.339996337891
2024-04-05,152.479995727539,155.550003051758,152.169998168945,153.860000610352,5113600,153.860000610352
2024-04-08,153.860000610352,155.690002441406,151.690002441406,154.860000610352,2682700,154.860000610352
2024-04-09,155.119995117188,156.895004272461,153.830001831055,155.580001831055,3412200,155.580001831055
2024-04-10,151.600006103516,153.509994506836,151.550003051758,152.970001220703,3602400,152.970001220703
2024-04-11,154.660003662109,159.914993286133,154.330001831055,159.350006103516,5737500,159.350006103516
2024-04-12,157.100006103516,160.520004272461,156.779998779297,158.559997558594,4642000,158.559997558594
2024-04-15,156.380004882812,157.029998779297,151.089996337891,151.979995727539,5929200,151.979995727539
2024-04-16,151.509994506836,152.070007324219,149.110000610352,150.300003051758,4705700,150.300003051758
2024-04-17,151.039993286133,152.440002441406,148.770004272461,148.800003051758,3767100,148.800003051758
2024-04-18,148.669998168945,150.899993896484,147.639999389648,148.410003662109,3795500,148.410003662109
2024-04-19,147.660003662109,150.089996337891,144.550003051758,145.449996948242,4959000,145.449996948242
2024-04-22,145.449996948242,148.399993896484,144.320007324219,147.210006713867,3736500,147.210006713867
2024-04-23,148.929992675781,152.078994750977,148.800994873047,151.169998168945,4826500,151.169998168945
2024-04-24,153,155.080001831055,152.029998779297,154.990005493164,3972700,154.990005493164
2024-04-25,152.589996337891,153.820007324219,149.550003051758,152.5,3965000,152.5
2024-04-26,159.759994506836,160.289993286133,155.800003051758,158.130004882812,6533300,158.130004882812
2024-04-29,158.699996948242,159.615005493164,156.235000610352,157.440002441406,4268000,157.440002441406
2024-04-30,156.130004882812,158.580001831055,155,155.199996948242,4016200,155.199996948242
2024-05-01,158.139999389648,160.29899597168,154.179992675781,156.139999389648,3414900,156.139999389648
2024-05-02,158.009994506836,159.389999389648,154.289993286133,157.770004272461,2671600,157.770004272461
2024-05-03,161,161.375,157.690002441406,159.320007324219,3660200,159.320007324219
2024-05-06,160.110000610352,163.880004882812,159.380004882812,163.679992675781,3198500,163.679992675781
2024-05-07,160.220001220703,160.917999267578,158.270004272461,159.089996337891,4569300,159.089996337891
2024-05-08,158.100006103516,159.639999389648,157,157.779998779297,2632200,157.779998779297
2024-05-09,157.860000610352,158.169998168945,155.770004272461,155.869995117188,2560800,155.869995117188
2024-05-10,157.100006103516,158.119995117188,155.414993286133,157.149993896484,2443800,157.149993896484
2024-05-13,158.050003051758,161.380004882812,157.509994506836,159.789993286133,3180700,159.789993286133
2024-05-14,161,162.246002197266,159.350006103516,160.949996948242,2831100,160.949996948242
2024-05-15,163,164.860000610352,158.850006103516,164.369995117188,4147200,164.369995117188
2024-05-16,163.869995117188,165.880004882812,163.184997558594,165.039993286133,3021500,165.039993286133
2024-05-17,163.720001220703,164.419998168945,161.130004882812,161.860000610352,3625300,161.860000610352
2024-05-20,163.080001831055,165.350006103516,162.544006347656,164.779998779297,3545100,164.779998779297
2024-05-21,163.779998779297,164.328994750977,161.389999389648,162.710006713867,4051300,162.710006713867
2024-05-22,163.059997558594,164.839996337891,162.130004882812,163.339996337891,9912500,163.339996337891
2024-05-23,168.25,168.800003051758,152.350006103516,154.580001831055,19511100,154.580001831055
2024-05-24,155.360000610352,159,154.110000610352,156.160003662109,6020500,156.160003662109
2024-05-28,156.070007324219,156.470001220703,149.550003051758,150.740005493164,6453700,150.740005493164
2024-05-29,148.639999389648,150,147.740005493164,148.190002441406,4880100,148.190002441406
2024-05-30,147,147.699996948242,140.231002807617,140.949996948242,9278600,140.949996948242
2024-05-31,140.270004272461,142.100006103516,133.589996337891,136.179992675781,14049200,136.179992675781
2024-06-03,136.850006103516,138.479995727539,135.699996948242,136.929992675781,7549700,136.929992675781
2024-06-04,137.199996948242,139.059997558594,135.600006103516,137,7627400,137
2024-06-05,137.220001220703,137.300003051758,128.410003662109,134.289993286133,15919800,134.289993286133
2024-06-06,133.940002441406,135.850006103516,131.835006713867,132.039993286133,8261000,132.039993286133
2024-06-07,131.059997558594,132.600006103516,130.080001831055,131.210006713867,4355400,131.210006713867
2024-06-10,129.529998779297,130,125.889999389648,126.76000213623,10827300,126.76000213623
2024-06-11,128.75,130.636993408203,127.150001525879,128.479995727539,10559400,128.479995727539
2024-06-12,130.660003662109,133.380004882812,129.149993896484,130.330001831055,8926900,130.330001831055
2024-06-13,129.759994506836,129.910003662109,125.879997253418,125.900001525879,8837900,125.900001525879
