Index,COIN.Open,COIN.High,COIN.Low,COIN.Close,COIN.Volume,COIN.Adjusted
2022-04-04,187.339996337891,193.070007324219,186.160003662109,191.649993896484,2488800,191.649993896484
2022-04-05,189.759994506836,191.330001831055,176.259994506836,177.169998168945,5012800,177.169998168945
2022-04-06,172.830001831055,174.330001831055,165.009994506836,166.839996337891,4675300,166.839996337891
2022-04-07,166.710006713867,169.419998168945,160.679992675781,166.190002441406,3093600,166.190002441406
2022-04-08,165.210006713867,166,160.130004882812,160.940002441406,2951000,160.940002441406
2022-04-11,156.570007324219,157.559997558594,151.729995727539,153.869995117188,4305800,153.869995117188
2022-04-12,158.070007324219,162.440002441406,149.410003662109,149.850006103516,4654400,149.850006103516
2022-04-13,149.029998779297,156.160003662109,147.800003051758,154.789993286133,3740500,154.789993286133
2022-04-14,153.539993286133,154,146.820007324219,147.289993286133,4082200,147.289993286133
2022-04-18,145.449996948242,149.5,140.529998779297,145.160003662109,4668700,145.160003662109
2022-04-19,146.020004272461,152.100006103516,144.449996948242,151.270004272461,2916000,151.270004272461
2022-04-20,154.929992675781,154.960006713867,144.850006103516,147.130004882812,3486000,147.130004882812
2022-04-21,151.970001220703,153.440002441406,135.309997558594,137.320007324219,6252900,137.320007324219
2022-04-22,137.289993286133,141.199996948242,131.25,131.520004272461,5162200,131.520004272461
2022-04-25,130.009994506836,137.350006103516,129.289993286133,135.139999389648,4066500,135.139999389648
2022-04-26,135.309997558594,136.770004272461,126.519996643066,127.150001525879,3717600,127.150001525879
2022-04-27,125.279998779297,130.710006713867,121.980003356934,122.550003051758,4658500,122.550003051758
2022-04-28,123.690002441406,126.389999389648,113.319999694824,122.690002441406,8070900,122.690002441406
2022-04-29,121.099998474121,129.089996337891,112.139999389648,112.709999084473,5760900,112.709999084473
2022-05-02,113.069999694824,122.290000915527,111.800003051758,121.339996337891,6229400,121.339996337891
2022-05-03,120.230003356934,129.399993896484,119.970001220703,123.559997558594,5053200,123.559997558594
2022-05-04,124,132.809997558594,116.199996948242,130.149993896484,6492800,130.149993896484
2022-05-05,125,125.639999389648,112.050003051758,114.25,7324400,114.25
2022-05-06,112.5,112.5,100.25,103.73999786377,9026500,103.73999786377
2022-05-09,96,96.4300003051758,81.7799987792969,83.5100021362305,16845400,83.5100021362305
2022-05-10,87,89.379997253418,70.1900024414062,72.9899978637695,31780000,72.9899978637695
2022-05-11,54.8499984741211,61.2799987792969,50.1500015258789,53.7200012207031,67080200,53.7200012207031
2022-05-12,48.5400009155273,60.2999992370605,40.8300018310547,58.5,58789000,58.5
2022-05-13,69.2600021362305,74.25,65.5,67.870002746582,38264800,67.870002746582
2022-05-16,68.0599975585938,68.0800018310547,60.5099983215332,61.7000007629395,18685900,61.7000007629395
2022-05-17,66.1999969482422,70.5,63.1100006103516,70,15868000,70
2022-05-18,67.6900024414062,71.8099975585938,61.939998626709,63.0299987792969,17422700,63.0299987792969
2022-05-19,65,70.9899978637695,63.6100006103516,67.4199981689453,15410100,67.4199981689453
