Index,SYG500.JO.Open,SYG500.JO.High,SYG500.JO.Low,SYG500.JO.Close,SYG500.JO.Volume,SYG500.JO.Adjusted
2024-02-15,9552.353515625,9552.353515625,9552.353515625,9552.353515625,0,9551.9296875
2024-02-16,9462.0673828125,9462.0673828125,9462.0673828125,9462.0673828125,0,9461.6474609375
2024-02-19,9518.9609375,9518.9609375,9518.9609375,9518.9609375,0,9518.5380859375
2024-02-20,9429.05078125,9429.05078125,9429.05078125,9429.05078125,0,9428.6318359375
2024-02-21,9439.1220703125,9439.1220703125,9439.1220703125,9439.1220703125,0,9438.703125
2024-02-22,9768.4990234375,9768.4990234375,9768.4990234375,9768.4990234375,0,9768.0654296875
2024-02-23,9841.515625,9841.515625,9841.515625,9841.515625,0,9841.0791015625
2024-02-26,9896,10100,9888,9963,419928,9962.5576171875
2024-02-27,9930,9930,9797,9814,80396,9813.564453125
2024-02-28,9880,9908,9789,9845,81293,9844.5634765625
2024-02-29,9845,9944,9803,9906,58570,9905.560546875
2024-03-01,10100,10100,9877,9915,144085,9914.560546875
2024-03-04,9958,9958,9861,9890,102603,9889.5615234375
2024-03-05,9915,9922,9795,9805,91536,9804.5654296875
2024-03-06,9780,9799,9725,9760,20288,9759.5673828125
2024-03-07,9745,9882,9735,9777,42373,9776.56640625
2024-03-08,9782,9880,9701,9801,89147,9800.5654296875
2024-03-11,9750,9750,9636,9636,50255,9635.572265625
2024-03-12,9735,9820,9648,9791,94036,9790.5654296875
2024-03-13,9800,9931,9716,9740,82311,9739.5673828125
2024-03-14,9727,9898,9727,9779,18889,9778.56640625
2024-03-15,9787,9822,9721,9735,39584,9734.568359375
2024-03-18,9750,9921,9750,9907,36526,9906.560546875
2024-03-19,9936,9976,9823,9865,28886,9864.5625
2024-03-20,9960,9965,9750,9868,41521,9867.5625
2024-03-22,10083,10129,10052,10056,28159,10055.5537109375
2024-03-25,10056,10107,9979,9999,88400,9998.556640625
2024-03-26,9884,10245,9800,10062,131064,10061.5537109375
2024-03-27,10050,10069,10003,10017,21227,10016.5556640625
2024-03-28,10101,10134,10076,10096,126093,10095.552734375
2024-04-02,10074,10085,9836,9873,96840,9872.5615234375
2024-04-03,9948,9975,9901,9931,124039,9930.5595703125
2024-04-04,9927,9985,9832,9924,49949,9923.5595703125
2024-04-05,9875,9875,9745,9815,40423,9814.564453125
2024-04-08,9857,9864,9761,9842,34382,9841.5634765625
2024-04-09,9842,9842,9702,9678,35697,9677.5703125
2024-04-10,9800,9849,9709,9821,111300,9820.564453125
2024-04-11,9803,9861,9763,9812,113027,9811.564453125
2024-04-12,9931,9931,9842,9882,38637,9881.5615234375
2024-04-15,9856,9982,9802,9913,118640,9912.560546875
2024-04-16,9830,9830,9718,9756,100195,9755.5673828125
2024-04-17,9706,9882,9706,9765,20634,9764.56640625
2024-04-18,9733,9755,9674,9790,27858,9789.5654296875
2024-04-19,9731,9788,9697,9708,39938,9707.5693359375
2024-04-22,9696,9726,9642,9686,69664,9685.5703125
2024-04-23,9807,9834,9732,9808,17946,9807.564453125
2024-04-24,9876,9930,9835,9902,11250,9901.560546875
2024-04-25,9818,9830,9650,9663,21696,9662.5712890625
2024-04-26,9862,9877,9696,9733,52381,9732.568359375
2024-04-29,9759,9776,9664,9681,33248,9680.5703125
2024-04-30,9720,9796,9670,9728,37286,9727.568359375
2024-05-02,9671,9671,9500,9518,108508,9517.5771484375
2024-05-03,9587,9733,9518,9597,112284,9596.57421875
2024-05-06,9899,9899,9600,9658,63510,9657.5712890625
2024-05-07,9779,9819,9707,9752,62295,9751.5673828125
2024-05-08,9837,9860,9781,9836,49907,9835.5634765625
2024-05-09,9813,9815,9707,9743,98304,9742.5673828125
2024-05-10,9800,9808,9747,9782,57840,9781.56640625
2024-05-13,9756,9783,9711,9725,31053,9724.568359375
2024-05-14,9790,9810,9719,9760,16117,9759.5673828125
2024-05-15,9804,9885,9732,9852,55798,9851.5625
2024-05-16,9885,9900,9753,9804,460818,9803.5654296875
2024-05-17,9759,9830,9698,9743,29492,9742.5673828125
2024-05-20,9772,9822,9689,9798,92211,9797.5654296875
2024-05-21,9798,9798,9651,9680,25716,9679.5703125
2024-05-22,9751,9869,9714,9793,50323,9792.5654296875
2024-05-23,9898,9950,9864,9905,168575,9904.560546875
2024-05-24,9864,9979,9721,9860,29110,9859.5625
2024-05-27,9865,9933,9844,9870,40367,9869.5625
2024-05-28,9916,9944,9839,9858,21732,9857.5625
2024-05-30,9909,9968,9860,9887,27236,9886.5615234375
2024-05-31,10020,10020,9859,9900,17350,9899.560546875
2024-06-03,10130,10205,9947,9910,41248,9909.560546875
2024-06-04,9960,10014,9907,9969,53861,9968.5576171875
2024-06-05,10091,10224,10056,10189,31385,10188.5478515625
2024-06-06,10050,10335,9970,10304,27245,10303.54296875
2024-06-07,10293,10293,10200,10277,28581,10276.5439453125
2024-06-10,10277,10277,10100,10192,15779,10191.5478515625
2024-06-11,10165,10184,10036,10124,21588,10123.55078125
2024-06-12,10160,10279,10101,10221,10519,10220.546875
2024-06-13,10173,10185,10101,10127,24880,10126.55078125
2024-06-14,10350,10350,10052,10142,37284,10141.5498046875
2024-06-18,10169,10170,10053,10079,49843,10078.552734375
2024-06-19,10181,10268,10005,10053,87204,10052.5537109375
2024-06-20,10119,10183,10049,10076,47578,10075.552734375
2024-06-21,10025,10076,9914,9985,99897,9984.5576171875
2024-06-24,10015,10350,10015,10093,55104,10092.552734375
2024-06-25,10055,10120,9995,10076,21839,10075.552734375
2024-06-26,9900,10318,9900,10128,21411,10127.55078125
2024-06-27,10196,10259,10180,10277,26855,10276.5439453125
2024-06-28,10300,10300,10120,10231,68964,10230.546875
2024-07-01,10041,10160,9973,10096,49576,10095.552734375
2024-07-02,10255,10371,10200,10346,102822,10345.541015625
2024-07-03,10600,10600,10266,10278,59575,10277.5439453125
2024-07-04,10385,10391,10278,10283,36349,10282.5439453125
2024-07-05,10300,10325,10201,10296,24148,10295.5439453125
2024-07-08,10230,10301,10221,10247,37843,10246.5458984375
2024-07-09,10600,10600,10241,10300,35813,10299.54296875
2024-07-10,10235,10258,10190,10257,21966,10256.548828125
2024-07-11,10336,10336,10258,10241,9654,10240.5498046875
2024-07-12,10197,10247,10116,10257,53715,10256.548828125
2024-07-15,10410,10452,10270,10429,40812,10428.5419921875
2024-07-16,10390,10390,10322,10364,37476,10363.544921875
2024-07-17,10340,10370,10300,10349,15313,10348.544921875
2024-07-18,10351,10459,10261,10272,12806,10271.548828125
2024-07-19,10232,10343,10225,10243,108429,10242.5498046875
2024-07-22,10349,10449,10206,10627,39076,10626.533203125
2024-07-23,10355,10430,10277,10376,40935,10375.5439453125
2024-07-24,10355,10370,10176,10149,32615,10148.5537109375
2024-07-25,10196,10284,10040,10067,103766,10066.5576171875
2024-07-26,10063,10202,10002,10072,28380,10071.5576171875
2024-07-29,10040,10300,10040,10204,134593,10203.5517578125
2024-07-30,10200,10549,10100,10156,41372,10155.5537109375
2024-07-31,10156,10177,10066,10149,27289,10148.5537109375
2024-08-01,10230,10317,10105,10048,52542,10047.55859375
2024-08-02,10000,10000,9793,9800,98509,9799.5693359375
2024-08-05,9763,9855,9330,9721,180658,9720.572265625
2024-08-06,9836,9970,9750,9841,582013,9840.5673828125
2024-08-07,9810,9913,9774,9877,62466,9876.5654296875
2024-08-08,10022,10022,9602,9820,32213,9819.568359375
2024-08-12,9845,9916,9822,9881,57732,9880.5654296875
2024-08-13,9919,9926,9745,9886,160920,9885.5654296875
2024-08-14,9988,9992,9887,9910,39506,9909.564453125
2024-08-15,9998,10098,9921,10063,15303,10062.5576171875
2024-08-16,10075,10111,10001,10014,64974,10013.5595703125
2024-08-19,10040,10063,9974,10008,20725,10007.5595703125
2024-08-20,10096,10172,10040,10124,110190,10123.5546875
2024-08-21,10144,10216,10076,10152,123692,10151.5537109375
2024-08-22,10230,10250,10150,10191,524116,10190.5517578125
2024-08-23,10182,10183,10070,10025,419268,10024.5595703125
2024-08-26,10036,10092,9990,9935,33076,9934.5634765625
2024-08-27,9993,10031,9945,9980,81679,9979.5615234375
2024-08-28,10020,10150,9958,9981,75156,9980.5615234375
2024-08-29,9946,9977,9887,10015,22340,10014.5595703125
2024-08-30,9956,10005,9898,9952,143469,9951.5625
2024-09-02,10092,10120,10053,10102,26962,10101.5556640625
2024-09-03,10115,10195,9988,10022,66784,10021.5595703125
2024-09-04,9950,9950,9840,9878,39922,9877.5654296875
2024-09-05,9850,9880,9757,9784,38407,9783.5693359375
2024-09-06,9750,9796,9662,9673,122361,9672.57421875
2024-09-09,9769,9807,9716,9763,39939,9762.5703125
2024-09-10,9799,9874,9767,9834,27178,9833.5673828125
2024-09-11,9835,9843,9750,9719,20520,9718.572265625
2024-09-12,10006,10038,9940,9934,29240,9933.5634765625
2024-09-13,9886,9996,9886,9960,24280,9959.5625
2024-09-16,9944,9975,9880,9913,14376,9912.564453125
2024-09-17,9951,10003,9917,9983,12896,9982.5615234375
2024-09-18,9875,9946,9854,9895,16289,9894.5654296875
2024-09-19,9949,10060,9901,9981,26635,9980.5615234375
2024-09-20,9958,10049,9955,9939,33758,9938.5634765625
2024-09-23,9950,9965,9865,9894,41393,9893.5654296875
2024-09-25,9900,9909,9795,9849,50982,9848.5673828125
2024-09-26,9901,10015,9891,9917,50832,9916.564453125
2024-09-27,9942,9942,9834,9875,22967,9874.5654296875
2024-09-30,9890,9930,9836,9919,55608,9918.5634765625
2024-10-01,9975,10035,9930,9933,45567,9932.5634765625
2024-10-02,9954,10057,9887,9971,39449,9970.5615234375
2024-10-03,10065,10065,9855,10024,18648,10023.5595703125
2024-10-04,10024,10139,9971,10029,61556,10028.5595703125
2024-10-07,10066,10066,9980,10032,18651,10031.55859375
2024-10-08,9971,10173,9971,10151,48817,10150.5537109375
2024-10-09,10171,10228,10129,10222,286475,10221.55078125
2024-10-10,10241,10284,10181,10195,33829,10194.5517578125
2024-10-11,10157,10227,10133,10178,71204,10177.552734375
2024-10-14,10211,10340,10176,10331,14904,10330.5458984375
2024-10-15,10368,10439,10328,10323,137036,10322.5458984375
2024-10-16,10300,10325,10150,10289,23448,10288.5478515625
2024-10-17,10351,10496,10203,10410,30094,10409.54296875
2024-10-18,10356,10371,10289,10316,19627,10315.546875
2024-10-21,10400,10400,10289,10333,48659,10332.5458984375
2024-10-22,10313,10323,10243,10259,47049,10258.548828125
2024-10-23,10284,10400,10284,10385,20880,10384.5439453125
2024-10-24,10363,10382,10302,10310,61431,10309.546875
2024-10-25,10283,10400,10282,10345,33176,10344.544921875
2024-10-28,10450,10450,10313,10399,34762,10398.54296875
2024-10-29,10399,10407,10321,10372,60379,10371.5439453125
2024-10-30,10450,10450,10285,10388,27707,10387.5439453125
2024-10-31,10500,10500,10200,10191,48714,10190.5517578125
2024-11-01,10350,10350,10120,10154,33823,10153.5537109375
2024-11-04,10127,10169,10077,10106,59375,10105.5556640625
2024-11-05,10349,10349,10009,10082,50418,10081.556640625
2024-11-06,10350,10622,10349,10523,319228,10522.537109375
2024-11-07,10575,10575,10369,10392,60292,10391.54296875
2024-11-08,10800,10800,10471,10569,65423,10568.53515625
2024-11-11,10685,10890,10638,10846,82686,10845.5234375
2024-11-12,10910,11028,10867,10950,41723,10949.5185546875
2024-11-13,11149,11149,10812,10901,64461,10900.521484375
2024-11-14,11167,11230,11001,11019,30759,11018.515625
2024-11-15,11101,11101,10814,10860,36216,10859.5224609375
2024-11-18,10860,10903,10700,10696,25027,10695.5302734375
2024-11-19,10653,10779,10653,10681,30698,10680.5302734375
2024-11-20,10600,10885,10569,10782,105785,10781.5263671875
2024-11-21,10834,10854,10759,10771,21491,10770.5263671875
2024-11-22,10854,11100,10786,10923,35157,10922.5205078125
2024-11-25,10908,11200,10650,10990,24806,10989.517578125
2024-11-26,11098,11098,10952,11035,23978,11034.515625
2024-11-27,11297,11297,11015,11097,46333,11096.5126953125
2024-11-28,11144,11160,11068,11056,20019,11055.5146484375
2024-11-29,11043,11065,11000,11027,34333,11026.515625
2024-12-02,11100,11299,11040,11153,30574,11152.509765625
2024-12-03,11156,11178,10941,11130,222998,11129.5107421875
2024-12-04,11155,11200,11137,11203,14619,11202.5078125
2024-12-05,11226,11250,11111,11141,25218,11140.5107421875
2024-12-06,11133,11160,11083,11134,16268,11133.5107421875
2024-12-09,11142,11142,11001,11025,38368,11024.515625
2024-12-10,11002,11020,10938,10991,42447,10990.517578125
2024-12-11,10946,11000,10911,10937,52164,10936.51953125
2024-12-12,10910,10959,10868,10917,76791,10916.5205078125
2024-12-13,11150,11150,10926,11054,52606,11053.5146484375
2024-12-17,11000,11169,10954,11146,62826,11145.5107421875
2024-12-18,11000,11208,11000,11127,39827,11126.51171875
2024-12-19,11090,11090,10850,11018,68569,11017.515625
2024-12-20,10972,10972,10849,10912,30989,10911.5205078125
2024-12-23,11132,11184,11072,11141,34149,11140.5107421875
2024-12-24,11192,11319,11192,11304,11032,11303.50390625
2024-12-27,11800,11800,11316,11385,24667,11384.5
2024-12-30,11680,11680,11226,11214,37948,11213.5078125
2024-12-31,11312,11323,11178,11282,63668,11281.5048828125
2025-01-02,11000,11349,10300,11216,41764,11215.5078125
2025-01-03,11190,11362,10880,11245,60406,11244.505859375
2025-01-06,11368,11386,11245,11290,64866,11289.50390625
2025-01-07,11314,11342,11227,11311,26688,11310.5029296875
2025-01-08,11309,11391,11260,11319,32710,11318.5029296875
2025-01-09,11367,11384,11301,11337,39815,11336.501953125
2025-01-10,11399,11471,11301,11352,15115,11351.501953125
2025-01-13,11315,11364,11200,11231,66334,11230.5068359375
2025-01-14,11326,11331,11234,11307,24010,11306.50390625
2025-01-15,11342,11344,11150,11264,28816,11263.99609375
2025-01-16,11254,11423,11254,11335,22609,11334.99609375
2025-01-17,11335,11500,11233,11335,37820,11334.99609375
2025-01-20,11400,11434,11310,11340,44686,11339.99609375
2025-01-21,11369,11409,11293,11326,29470,11325.99609375
2025-01-22,11343,11430,11316,11364,97049,11363.99609375
2025-01-23,11725,11725,11343,11431,18654,11430.99609375
2025-01-24,11401,11407,11304,11378,23561,11377.99609375
2025-01-27,11800,11800,11135,11347,143269,11346.99609375
2025-01-28,11486,11546,11311,11324,84079,11323.99609375
2025-01-29,11380,11538,11380,11437,24932,11436.99609375
2025-01-30,11410,11499,11303,11355,44294,11354.99609375
2025-01-31,11479,11551,11432,11529,16669,11528.99609375
2025-02-03,11403,11450,11350,11355,44363,11354.99609375
2025-02-04,11403,11624,11327,11352,171718,11351.99609375
2025-02-05,11386,11452,11290,11346,78104,11345.99609375
2025-02-06,11799,11799,11361,11413,16910,11412.99609375
2025-02-07,11396,11431,11288,11328,63790,11327.99609375
2025-02-10,11335,11797,11226,11285,42850,11284.99609375
2025-02-11,11342,11356,11253,11294,65243,11293.99609375
2025-02-12,11406,11406,11266,11309,39961,11308.99609375
2025-02-13,11350,11406,11288,11385,12810,11384.99609375
2025-02-14,11300,11474,11290,11343,50676,11342.99609375
2025-02-17,11799,11799,11301,11416,80880,11415.99609375
2025-02-18,11402,11510,11383,11407,36794,11406.99609375
2025-02-19,11377,11542,11352,11492,39064,11491.99609375
2025-02-20,11519,11558,11440,11427,52054,11426.99609375
2025-02-21,11415,11590,11308,11338,115828,11337.99609375
2025-02-24,11300,11411,11147,11193,121289,11192.99609375
2025-02-25,11176,11260,11117,11139,76778,11138.99609375
2025-02-26,11188,11486,11127,11162,85395,11161.99609375
2025-02-27,11204,11246,11141,11180,73566,11179.99609375
2025-02-28,11135,11135,10925,10972,60152,10971.99609375
2025-03-03,11020,11493,10925,11254,84951,11253.99609375
2025-03-04,11246,11246,10885,10922,115074,10921.99609375
2025-03-05,10914,10914,10791,10802,100795,10801.99609375
2025-03-06,10864,10864,10559,10568,166092,10567.99609375
2025-03-07,10897,10897,10494,10641,170200,10640.99609375
2025-03-10,10686,10692,10401,10441,57438,10440.99609375
2025-03-11,10475,10475,10285,10262,134727,10261.99609375
2025-03-12,10316,10818,10316,10391,72747,10390.99609375
2025-03-13,10428,10474,10336,10406,76216,10405.99609375
2025-03-14,10560,10560,10237,10307,61837,10306.99609375
2025-03-17,10300,10443,10291,10383,62887,10382.99609375
2025-03-18,10673,10673,10331,10331,78433,10330.99609375
2025-03-19,10399,10440,10311,10390,30419,10389.99609375
2025-03-20,10518,10537,10361,10507,50509,10506.99609375
